FlightID,AircraftModel,TailNumber
F1763,Boeing 787-8,VT-RJR
F1764,Boeing 787-8,VT-UWU
F1765,ATR 72-600,VT-ZOJ
F1766,Boeing 737-800,VT-IES
F1767,Airbus A320,VT-LHN
F1768,Boeing 787-8,VT-YCE
F1769,Boeing 777-300ER,VT-VTK
F1770,Boeing 787-8,VT-OXD
F1771,Airbus A319,VT-UZG
F1772,Boeing 777-300ER,VT-GPH
F1773,Airbus A320,VT-AWL
F1774,Boeing 777-300ER,VT-JVI
F1775,Boeing 737-900,VT-MUM
F1776,Bombardier Q400,VT-FPQ
F1777,Airbus A319,VT-BLK
F1778,Boeing 737-800,VT-MHC
F1779,Boeing 777-300ER,VT-RMG
F1780,Boeing 777-300ER,VT-VYS
F1781,Airbus A321,VT-SSU
F1782,Airbus A320,VT-VDS
F1783,Airbus A321,VT-HLX
F1784,ATR 72-600,VT-VPO
F1785,Airbus A321,VT-UAG
F1786,Bombardier Q400,VT-LSE
F1787,Boeing 777-300ER,VT-XBM
F1788,Boeing 737-900,VT-RYH
F1789,Boeing 737-800,VT-AFT
F1790,Airbus A319,VT-BKQ
F1791,Boeing 737-800,VT-GAF
F1792,Airbus A320,VT-ULR
F1793,Airbus A320,VT-EVV
F1794,Airbus A321,VT-XRW
F1795,Boeing 777-300ER,VT-GFU
F1796,ATR 72-600,VT-WJA
F1797,Boeing 777-300ER,VT-CFT
F1798,Boeing 737-900,VT-VSD
F1799,ATR 72-600,VT-OQO
F1800,Bombardier Q400,VT-WDJ
F1801,ATR 72-600,VT-MRU
F1802,Boeing 787-8,VT-EQY
F1803,Boeing 737-900,VT-JKG
F1804,Airbus A319,VT-NIC
F1805,Airbus A319,VT-THO
F1806,ATR 72-600,VT-INH
F1807,Boeing 737-900,VT-ALP
F1808,Boeing 777-300ER,VT-PMM
F1809,Airbus A319,VT-VJJ
F1810,Boeing 787-8,VT-RDL
F1811,Boeing 787-8,VT-UMR
F1812,Airbus A321,VT-SQV
F1813,Airbus A320,VT-IWQ
F1814,Bombardier Q400,VT-FEV
F1815,Bombardier Q400,VT-DWY
F1816,Airbus A319,VT-LAG
F1817,Airbus A321,VT-RYC
F1818,Airbus A321,VT-GXE
F1819,Bombardier Q400,VT-OMK
F1820,Airbus A319,VT-NPM
F1821,ATR 72-600,VT-MOP
F1822,Bombardier Q400,VT-MLN
F1823,Airbus A319,VT-OTD
F1824,Boeing 737-800,VT-TQG
F1825,Boeing 787-8,VT-TML
F1826,Bombardier Q400,VT-DZI
F1827,Bombardier Q400,VT-UII
F1828,Airbus A321,VT-IDO
F1829,Bombardier Q400,VT-JGT
F1830,Airbus A319,VT-LAG
F1831,Boeing 737-800,VT-DXU
F1832,Airbus A321,VT-ECT
F1833,Airbus A321,VT-KSO
F1834,Airbus A320,VT-SIO
F1835,Boeing 737-800,VT-LSK
F1836,Airbus A320,VT-XHZ
F1837,Airbus A321,VT-TAJ
F1838,Airbus A320,VT-DZU
F1839,Bombardier Q400,VT-NVH
F1840,Airbus A320,VT-FOD
F1841,Airbus A320,VT-NYH
F1842,ATR 72-600,VT-DUX
F1843,Airbus A319,VT-SVS
F1844,Airbus A319,VT-OQE
F1845,Boeing 787-8,VT-VQX
F1846,Boeing 777-300ER,VT-XCD
F1847,Boeing 777-300ER,VT-KDT
F1848,Boeing 737-900,VT-VMM
F1849,Airbus A321,VT-JPS
F1850,Boeing 737-900,VT-LKQ
F1851,Boeing 777-300ER,VT-LIP
F1852,Airbus A320,VT-HTK
F1853,Boeing 737-800,VT-BNZ
F1854,Boeing 737-800,VT-UUT
F1855,Boeing 737-900,VT-YFN
F1856,Boeing 737-800,VT-VGX
F1857,Airbus A320,VT-NMN
F1858,Boeing 787-8,VT-ORG
F1859,Airbus A321,VT-BFF
F1860,Airbus A320,VT-RLV
F1861,Airbus A319,VT-GLG
F1862,Boeing 737-800,VT-KNF
F1863,Airbus A321,VT-JPB
F1864,Boeing 737-800,VT-LLH
F1865,Airbus A321,VT-PFF
F1866,Airbus A319,VT-BUV
F1867,ATR 72-600,VT-SED
F1868,Bombardier Q400,VT-XCI
F1869,Bombardier Q400,VT-UXX
F1870,Bombardier Q400,VT-RPG
F1871,Airbus A320,VT-IZY
F1872,Boeing 777-300ER,VT-UCO
F1873,Airbus A320,VT-OSH
F1874,Bombardier Q400,VT-MSW
F1875,Airbus A320,VT-YPJ
F1876,Airbus A319,VT-LFI
F1877,Boeing 737-800,VT-IJG
F1878,Boeing 737-900,VT-GFK
F1879,ATR 72-600,VT-ZTA
F1880,Airbus A320,VT-AZK
F1881,Airbus A319,VT-XAO
F1882,Airbus A321,VT-YOO
F1883,Airbus A319,VT-PJY
F1884,Boeing 787-8,VT-PWP
F1885,Boeing 787-8,VT-VST
F1886,Bombardier Q400,VT-KMR
F1887,Boeing 737-800,VT-GHX
F1888,Bombardier Q400,VT-CAP
F1889,Airbus A319,VT-CPL
F1890,ATR 72-600,VT-VPG
F1891,Airbus A319,VT-KUJ
F1892,Airbus A321,VT-BIR
F1893,Airbus A321,VT-LWB
F1894,Boeing 787-8,VT-VFC
F1895,Bombardier Q400,VT-MNQ
F1896,Boeing 737-800,VT-CFJ
F1897,Airbus A321,VT-YUP
F1898,Bombardier Q400,VT-AXT
F1899,Bombardier Q400,VT-ETL
F1900,Airbus A321,VT-IDZ
F1901,Boeing 737-900,VT-UED
F1902,ATR 72-600,VT-MXH
F1903,Boeing 737-800,VT-YYW
F1904,Airbus A321,VT-JCK
F1905,Airbus A320,VT-PRC
F1906,ATR 72-600,VT-KUY
F1907,Boeing 787-8,VT-VUM
F1908,Airbus A320,VT-ZMH
F1909,Airbus A319,VT-DMQ
F1910,Bombardier Q400,VT-WRG
F1911,Airbus A319,VT-FJV
F1912,Boeing 737-800,VT-YYY
F1913,Bombardier Q400,VT-SFB
F1914,Boeing 737-900,VT-OYS
F1915,Boeing 737-800,VT-EYH
F1916,Boeing 737-800,VT-EBT
F1917,Boeing 777-300ER,VT-UZK
F1918,ATR 72-600,VT-OWN
F1919,Airbus A319,VT-KQG
F1920,Boeing 787-8,VT-PND
F1921,ATR 72-600,VT-ZBW
F1922,Boeing 737-900,VT-ULB
F1923,Airbus A319,VT-TOQ
F1924,Airbus A321,VT-FZB
F1925,Airbus A320,VT-EAM
F1926,Boeing 787-8,VT-YBI
F1927,Boeing 737-800,VT-WUQ
F1928,Boeing 787-8,VT-HND
F1929,Airbus A319,VT-VXA
F1930,Airbus A320,VT-WQT
F1931,Airbus A320,VT-OYC
F1932,Airbus A320,VT-JUO
F1933,Boeing 737-800,VT-BKV
F1934,Boeing 737-900,VT-YZY
F1935,Boeing 777-300ER,VT-LJT
F1936,Boeing 787-8,VT-FAO
F1937,Airbus A321,VT-SRT
F1938,Airbus A321,VT-QJG
F1939,Airbus A319,VT-AMB
F1940,Bombardier Q400,VT-EFS
F1941,Airbus A320,VT-QSX
F1942,Boeing 737-900,VT-HHW
F1943,Airbus A319,VT-DZT
F1944,Boeing 777-300ER,VT-OYJ
F1945,Airbus A319,VT-CXO
F1946,Airbus A319,VT-XAJ
F1947,Boeing 737-900,VT-NTD
F1948,ATR 72-600,VT-DSW
F1949,Boeing 737-900,VT-YXJ
F1950,ATR 72-600,VT-IWR
F1951,Airbus A319,VT-PDY
F1952,ATR 72-600,VT-BZI
F1953,Boeing 737-900,VT-MKZ
F1954,Bombardier Q400,VT-TAH
F1955,ATR 72-600,VT-RAG
F1956,Boeing 787-8,VT-DPB
F1957,Boeing 737-900,VT-DTY
F1958,Bombardier Q400,VT-KZC
F1959,Airbus A319,VT-CXE
F1960,Airbus A320,VT-MQW
F1961,ATR 72-600,VT-JQB
F1962,Boeing 737-800,VT-HPG
F1963,Bombardier Q400,VT-EJJ
F1964,Airbus A321,VT-GYA
F1965,Boeing 737-800,VT-NVZ
F1966,Boeing 737-800,VT-ETQ
F1967,Bombardier Q400,VT-UHP
F1968,Airbus A320,VT-ULQ
F1969,Airbus A321,VT-ZOB
F1970,Boeing 737-800,VT-XDJ
F1971,Airbus A319,VT-HLS
F1972,Boeing 777-300ER,VT-JVO
F1973,Airbus A320,VT-TOD
F1974,Boeing 777-300ER,VT-TLT
F1975,Bombardier Q400,VT-YFL
F1976,ATR 72-600,VT-QRQ
F1977,Airbus A319,VT-DTD
F1978,Boeing 777-300ER,VT-PEY
F1979,Boeing 777-300ER,VT-UOL
F1980,Airbus A320,VT-ORX
F1981,ATR 72-600,VT-BOA
F1982,Boeing 737-900,VT-FCH
F1983,Boeing 777-300ER,VT-VDS
F1984,Bombardier Q400,VT-ARZ
F1985,Bombardier Q400,VT-GTG
F1986,Boeing 737-800,VT-WRJ
F1987,ATR 72-600,VT-VLA
F1988,Boeing 737-800,VT-ZHI
F1989,Boeing 787-8,VT-GOO
F1990,Boeing 737-900,VT-OLM
F1991,Airbus A319,VT-FSI
F1992,ATR 72-600,VT-EIO
F1993,ATR 72-600,VT-VXN
F1994,Airbus A319,VT-AZG
F1995,Boeing 787-8,VT-NVH
F1996,Airbus A320,VT-AFG
F1997,Airbus A319,VT-XUI
F1998,Bombardier Q400,VT-DYL
F1999,ATR 72-600,VT-IEB
F2000,Boeing 737-900,VT-FDB
F2001,ATR 72-600,VT-KJP
F2002,Boeing 737-900,VT-ECW
F2003,Airbus A320,VT-AUH
F2004,Airbus A321,VT-WMX
F2005,Airbus A321,VT-JRL
F2006,Boeing 737-900,VT-GDO
F2007,Airbus A321,VT-BCP
F2008,Airbus A319,VT-RQB
F2009,Boeing 737-800,VT-FDP
F2010,Airbus A321,VT-LAC
F2011,Airbus A320,VT-ZUG
F2012,Boeing 777-300ER,VT-UQT
F2013,Boeing 737-800,VT-EZR
F2014,Boeing 737-800,VT-AZI
F2015,Bombardier Q400,VT-LSV
F2016,Boeing 787-8,VT-WWB
F2017,Boeing 737-800,VT-BKU
F2018,Boeing 737-800,VT-BQD
F2019,Bombardier Q400,VT-QJS
F2020,ATR 72-600,VT-ZID
F2021,Boeing 777-300ER,VT-BFU
F2022,Airbus A319,VT-IQS
F2023,ATR 72-600,VT-VVP
F2024,Boeing 777-300ER,VT-VIP
F2025,Bombardier Q400,VT-FWG
F2026,Boeing 737-900,VT-ONJ
F2027,Boeing 737-900,VT-SKK
F2028,Boeing 737-900,VT-HEP
F2029,Boeing 737-900,VT-NCN
F2030,Airbus A319,VT-FOT
F2031,Airbus A319,VT-BRW
F2032,Bombardier Q400,VT-YPC
F2033,Airbus A321,VT-PFO
F2034,Boeing 737-900,VT-TXE
F2035,ATR 72-600,VT-KRK
F2036,Airbus A321,VT-QTQ
F2037,Boeing 777-300ER,VT-WGB
F2038,Boeing 787-8,VT-UMA
F2039,Boeing 777-300ER,VT-MJI
F2040,Boeing 737-800,VT-UAO
F2041,Boeing 787-8,VT-GQN
F2042,ATR 72-600,VT-CAF
F2043,Airbus A319,VT-FCA
F2044,ATR 72-600,VT-YBD
F2045,Boeing 787-8,VT-QYU
F2046,ATR 72-600,VT-YZL
F2047,Airbus A320,VT-YYO
F2048,Airbus A319,VT-NRX
F2049,Airbus A319,VT-DLA
F2050,Airbus A319,VT-TRS
F2051,Boeing 737-900,VT-IPK
F2052,Airbus A320,VT-NWU
F2053,Boeing 737-800,VT-EFC
F2054,Boeing 737-800,VT-LIS
F2055,Bombardier Q400,VT-VFL
F2056,Airbus A319,VT-QXI
F2057,ATR 72-600,VT-RLY
F2058,ATR 72-600,VT-VEG
F2059,Bombardier Q400,VT-MYY
F2060,Bombardier Q400,VT-XPB
F2061,Boeing 737-800,VT-ANW
F2062,Boeing 777-300ER,VT-QZV
F2063,Bombardier Q400,VT-RYZ
F2064,Airbus A319,VT-OZO
F2065,Airbus A319,VT-VSM
F2066,Airbus A320,VT-XWY
F2067,Airbus A321,VT-FGQ
F2068,Boeing 777-300ER,VT-QEG
F2069,Airbus A320,VT-SHU
F2070,Boeing 737-900,VT-GMV
F2071,Boeing 787-8,VT-WBH
F2072,Airbus A319,VT-GZT
F2073,Boeing 787-8,VT-QBH
F2074,Boeing 737-800,VT-FTV
F2075,Boeing 737-800,VT-YHU
F2076,Airbus A321,VT-FGJ
F2077,Boeing 737-900,VT-EJG
F2078,Boeing 737-800,VT-BCI
F2079,Boeing 737-800,VT-JBJ
F2080,Airbus A320,VT-ZQJ
F2081,ATR 72-600,VT-CKG
F2082,Airbus A320,VT-YUR
F2083,Bombardier Q400,VT-RGY
F2084,Boeing 737-900,VT-GAD
F2085,Airbus A320,VT-UEL
F2086,Airbus A320,VT-HWO
F2087,Airbus A321,VT-WFF
F2088,Boeing 737-900,VT-QME
F2089,Boeing 737-900,VT-SON
F2090,Boeing 737-800,VT-GCK
F2091,Boeing 787-8,VT-DME
F2092,Boeing 787-8,VT-YBN
F2093,ATR 72-600,VT-JZR
F2094,Boeing 787-8,VT-USO
F2095,Boeing 737-900,VT-QNR
F2096,Boeing 737-900,VT-RII
F2097,ATR 72-600,VT-OGG
F2098,Bombardier Q400,VT-JCA
F2099,Boeing 777-300ER,VT-ZLE
F2100,ATR 72-600,VT-EYA
F2101,Airbus A319,VT-GVC
F2102,Boeing 777-300ER,VT-INW
F2103,Boeing 787-8,VT-GIZ
F2104,Airbus A320,VT-QEA
F2105,Boeing 737-900,VT-BQP
F2106,Airbus A320,VT-CBK
F2107,Boeing 787-8,VT-ALY
F2108,Airbus A320,VT-DFI
F2109,Airbus A320,VT-VZQ
F2110,Airbus A321,VT-WBF
F2111,Airbus A321,VT-GVV
F2112,Airbus A321,VT-KXR
F2113,Boeing 737-800,VT-UTG
F2114,Bombardier Q400,VT-CAO
F2115,Boeing 737-900,VT-JML
F2116,Airbus A321,VT-DWC
F2117,Bombardier Q400,VT-AEQ
F2118,Boeing 777-300ER,VT-KKZ
F2119,Airbus A321,VT-QUA
F2120,Boeing 777-300ER,VT-QFT
F2121,Boeing 737-900,VT-FBT
F2122,Airbus A321,VT-QDW
F2123,Airbus A319,VT-DGI
F2124,Boeing 787-8,VT-YMB
F2125,Airbus A321,VT-MIM
F2126,Airbus A319,VT-YUK
F2127,Bombardier Q400,VT-FEG
F2128,Airbus A319,VT-EWC
F2129,Airbus A319,VT-LDD
F2130,ATR 72-600,VT-AZZ
F2131,Airbus A319,VT-EYJ
F2132,Airbus A319,VT-YRK
F2133,ATR 72-600,VT-DJR
F2134,Airbus A320,VT-AGT
F2135,Airbus A319,VT-XHO
F2136,Airbus A320,VT-FWB
F2137,Bombardier Q400,VT-MHK
F2138,Boeing 787-8,VT-LGZ
F2139,Boeing 777-300ER,VT-NUE
F2140,Boeing 737-800,VT-KWS
F2141,Boeing 737-800,VT-TAQ
F2142,Airbus A319,VT-LXM
F2143,Boeing 777-300ER,VT-UFM
F2144,Boeing 737-900,VT-HZV
F2145,Boeing 737-900,VT-THL
F2146,Boeing 737-800,VT-UCN
F2147,Airbus A320,VT-BMP
F2148,Boeing 777-300ER,VT-CUW
F2149,Bombardier Q400,VT-FOA
F2150,Boeing 737-800,VT-AAM
F2151,Airbus A321,VT-MQP
F2152,Boeing 777-300ER,VT-NXW
F2153,Boeing 737-900,VT-HHN
F2154,ATR 72-600,VT-JMN
F2155,Boeing 737-800,VT-MFU
F2156,Bombardier Q400,VT-VJW
F2157,Bombardier Q400,VT-YKC
F2158,Boeing 777-300ER,VT-NAC
F2159,Airbus A320,VT-NAH
F2160,Boeing 737-900,VT-PVT
F2161,Airbus A320,VT-LMV
F2162,Boeing 777-300ER,VT-MWJ
F2163,Airbus A321,VT-BIT
F2164,ATR 72-600,VT-DQA
F2165,ATR 72-600,VT-YZC
F2166,Airbus A321,VT-YQT
F2167,Boeing 777-300ER,VT-ULT
F2168,Bombardier Q400,VT-YOD
F2169,Airbus A319,VT-YJY
F2170,Bombardier Q400,VT-XKX
F2171,Boeing 737-800,VT-RQN
F2172,Bombardier Q400,VT-DQC
F2173,Boeing 777-300ER,VT-VNS
F2174,Boeing 787-8,VT-WBQ
F2175,Boeing 737-900,VT-SKN
F2176,Boeing 787-8,VT-QYT
F2177,ATR 72-600,VT-RWE
F2178,Boeing 737-800,VT-SVP
F2179,Boeing 777-300ER,VT-EKC
F2180,Boeing 737-800,VT-UFT
F2181,Boeing 737-900,VT-ZTG
F2182,ATR 72-600,VT-WPH
F2183,Airbus A319,VT-UUJ
F2184,ATR 72-600,VT-EVF
F2185,ATR 72-600,VT-ROK
F2186,Boeing 787-8,VT-SVL
F2187,Airbus A320,VT-KLH
F2188,Boeing 777-300ER,VT-NPI
F2189,ATR 72-600,VT-RUV
F2190,ATR 72-600,VT-TKY
F2191,ATR 72-600,VT-FDC
F2192,Boeing 787-8,VT-KRX
F2193,ATR 72-600,VT-LEX
F2194,Bombardier Q400,VT-RFS
F2195,Boeing 737-900,VT-XBV
F2196,Boeing 777-300ER,VT-FDG
F2197,Boeing 787-8,VT-DKP
F2198,Bombardier Q400,VT-LHF
F2199,Airbus A320,VT-IZN
F2200,Airbus A319,VT-AWJ
F2201,Boeing 787-8,VT-QDY
F2202,Boeing 737-800,VT-LEX
F2203,Boeing 777-300ER,VT-VVE
F2204,Boeing 787-8,VT-YRH
F2205,Airbus A320,VT-EHZ
F2206,Airbus A320,VT-HXS
F2207,Boeing 787-8,VT-JVK
F2208,Boeing 777-300ER,VT-MHG
F2209,Boeing 737-800,VT-RBF
F2210,Boeing 777-300ER,VT-ASF
F2211,Airbus A320,VT-RWZ
F2212,Boeing 777-300ER,VT-QNP
F2213,Boeing 787-8,VT-CYL
F2214,Boeing 737-900,VT-DJN
F2215,Airbus A319,VT-YCI
F2216,Boeing 737-800,VT-RBA
F2217,Airbus A319,VT-EUT
F2218,Airbus A320,VT-XZK
F2219,Airbus A319,VT-CDK
F2220,Bombardier Q400,VT-LRJ
F2221,Bombardier Q400,VT-BWN
F2222,Airbus A320,VT-AUK
F2223,Airbus A319,VT-KXW
F2224,Boeing 737-900,VT-UKW
F2225,Boeing 737-900,VT-NOA
F2226,Airbus A319,VT-RYV
F2227,Boeing 777-300ER,VT-XDK
F2228,ATR 72-600,VT-KTH
F2229,Airbus A320,VT-IKH
F2230,ATR 72-600,VT-NOU
F2231,Boeing 737-800,VT-AWU
F2232,Boeing 787-8,VT-JHN
F2233,Airbus A319,VT-WMK
F2234,Boeing 737-900,VT-HYD
F2235,Boeing 737-800,VT-YGD
F2236,Airbus A321,VT-WWL
F2237,Boeing 787-8,VT-VPB
F2238,Bombardier Q400,VT-SMY
F2239,Airbus A320,VT-YNE
F2240,Boeing 737-800,VT-WCQ
F2241,Airbus A320,VT-NBX
F2242,Airbus A321,VT-PTU
F2243,Boeing 787-8,VT-XHK
F2244,Boeing 787-8,VT-TXM
F2245,Boeing 737-900,VT-BWJ
F2246,ATR 72-600,VT-QTT
F2247,Boeing 787-8,VT-QZJ
F2248,Airbus A319,VT-CWA
F2249,Boeing 787-8,VT-YKC
F2250,ATR 72-600,VT-SUA
F2251,Boeing 787-8,VT-YXN
F2252,Boeing 737-900,VT-ZHO
F2253,Boeing 787-8,VT-NGO
F2254,Airbus A319,VT-RRO
F2255,Airbus A321,VT-CON
F2256,Boeing 737-800,VT-YJR
F2257,ATR 72-600,VT-PWQ
F2258,Boeing 787-8,VT-BZY
F2259,Boeing 787-8,VT-FAS
F2260,Boeing 787-8,VT-ROY
F2261,Boeing 737-900,VT-HHF
F2262,Bombardier Q400,VT-XCJ
F2263,Bombardier Q400,VT-FTD
F2264,ATR 72-600,VT-LXZ
F2265,Airbus A320,VT-TTT
F2266,Boeing 737-800,VT-KQL
F2267,Boeing 787-8,VT-BAB
F2268,Boeing 777-300ER,VT-FAK
F2269,Airbus A321,VT-SGM
F2270,Boeing 777-300ER,VT-JJI
F2271,Airbus A321,VT-DFW
F2272,Boeing 777-300ER,VT-JDI
F2273,Airbus A321,VT-WKS
F2274,Boeing 777-300ER,VT-XLC
F2275,Airbus A320,VT-LYE
F2276,Airbus A320,VT-QHQ
F2277,Boeing 737-800,VT-QIL
F2278,Boeing 737-900,VT-SUF
F2279,ATR 72-600,VT-ADS
F2280,Bombardier Q400,VT-ZFM
F2281,Bombardier Q400,VT-QDT
F2282,Bombardier Q400,VT-NHG
F2283,Airbus A321,VT-YLO
F2284,Airbus A321,VT-GAR
F2285,Airbus A319,VT-PHE
F2286,ATR 72-600,VT-QXZ
F2287,ATR 72-600,VT-SHX
F2288,Airbus A321,VT-MIW
F2289,Airbus A320,VT-UAY
F2290,ATR 72-600,VT-YGV
F2291,Boeing 787-8,VT-XTQ
F2292,Boeing 737-800,VT-BCS
F2293,Boeing 737-800,VT-KZU
F2294,Boeing 737-800,VT-IRL
F2295,Airbus A321,VT-SOW
F2296,Boeing 787-8,VT-ABK
F2297,Bombardier Q400,VT-EZD
F2298,Bombardier Q400,VT-YHY
F2299,Boeing 777-300ER,VT-PJY
F2300,Airbus A320,VT-TJZ
F2301,Airbus A320,VT-BUI
F2302,Airbus A321,VT-FWC
F2303,Airbus A321,VT-PCF
F2304,Airbus A319,VT-AVG
F2305,Boeing 777-300ER,VT-GRM
F2306,Boeing 787-8,VT-OKT
F2307,Boeing 737-800,VT-JWE
F2308,Airbus A320,VT-YMG
F2309,Boeing 787-8,VT-ZRP
F2310,Boeing 777-300ER,VT-JAL
F2311,Boeing 737-800,VT-FRL
F2312,Boeing 777-300ER,VT-HKY
F2313,Boeing 777-300ER,VT-OFX
F2314,Boeing 737-900,VT-CQA
F2315,Boeing 737-800,VT-DJY
F2316,ATR 72-600,VT-AST
F2317,Airbus A320,VT-ADL
F2318,Boeing 787-8,VT-ELD
F2319,ATR 72-600,VT-FHX
F2320,Boeing 777-300ER,VT-NRH
F2321,Airbus A321,VT-TNC
F2322,ATR 72-600,VT-ZJC
F2323,Airbus A319,VT-AKJ
F2324,Airbus A321,VT-KAG
F2325,Boeing 777-300ER,VT-JHE
F2326,Boeing 737-800,VT-KMB
F2327,Bombardier Q400,VT-PYW
F2328,Boeing 737-800,VT-PDK
F2329,Bombardier Q400,VT-BDF
F2330,Airbus A319,VT-DAN
F2331,Bombardier Q400,VT-KJV
F2332,ATR 72-600,VT-ZQF
F2333,Bombardier Q400,VT-ETO
F2334,Boeing 777-300ER,VT-EDA
F2335,ATR 72-600,VT-ZEY
F2336,Bombardier Q400,VT-OVX
F2337,ATR 72-600,VT-GXP
F2338,Boeing 737-800,VT-VXJ
F2339,Airbus A321,VT-KDK
F2340,Airbus A319,VT-CYV
F2341,Boeing 737-900,VT-MCU
F2342,Airbus A320,VT-AQB
F2343,Airbus A321,VT-GLT
F2344,Airbus A319,VT-TMO
F2345,Bombardier Q400,VT-ELS
F2346,Airbus A320,VT-JGD
F2347,Bombardier Q400,VT-JUU
F2348,Airbus A320,VT-YNT
F2349,Airbus A321,VT-DYD
F2350,Airbus A319,VT-KIP
F2351,Airbus A319,VT-MME
F2352,Boeing 787-8,VT-DJD
F2353,Boeing 737-900,VT-QCT
F2354,Boeing 787-8,VT-TEK
F2355,Boeing 737-900,VT-TTV
F2356,Bombardier Q400,VT-GAC
F2357,Airbus A320,VT-JHE
F2358,Bombardier Q400,VT-BWD
F2359,Airbus A321,VT-NTS
F2360,ATR 72-600,VT-SSJ
F2361,Airbus A321,VT-UDZ
F2362,Boeing 777-300ER,VT-ETX
F2363,Boeing 777-300ER,VT-GWZ
F2364,Airbus A319,VT-ZCL
F2365,Boeing 787-8,VT-EDQ
F2366,Airbus A319,VT-BTD
F2367,Airbus A320,VT-LNO
F2368,ATR 72-600,VT-JJN
F2369,Airbus A320,VT-OSE
F2370,Boeing 777-300ER,VT-YVC
F2371,Boeing 737-900,VT-FMD
F2372,Airbus A319,VT-OLA
F2373,Bombardier Q400,VT-TVC
F2374,Boeing 787-8,VT-PQI
F2375,Boeing 787-8,VT-LNZ
F2376,Airbus A321,VT-QYZ
F2377,Boeing 737-900,VT-ZLB
F2378,Boeing 777-300ER,VT-ADH
F2379,Airbus A319,VT-XWI
F2380,Boeing 737-900,VT-SXA
F2381,Airbus A319,VT-WII
F2382,Airbus A320,VT-EBW
F2383,Boeing 777-300ER,VT-RWH
F2384,ATR 72-600,VT-FIW
F2385,Airbus A321,VT-LME
F2386,Bombardier Q400,VT-AKS
F2387,Airbus A320,VT-AJL
F2388,Bombardier Q400,VT-LXC
F2389,Boeing 777-300ER,VT-FNB
F2390,Boeing 737-800,VT-EDK
F2391,Boeing 787-8,VT-RPU
F2392,ATR 72-600,VT-XYI
F2393,Boeing 737-900,VT-AMG
F2394,Bombardier Q400,VT-JXL
F2395,Airbus A321,VT-DAV
F2396,Airbus A321,VT-JYD
F2397,Boeing 737-800,VT-MMU
F2398,Boeing 737-800,VT-TSA
F2399,Boeing 777-300ER,VT-IZK
F2400,Boeing 777-300ER,VT-MVD
F2401,ATR 72-600,VT-DWY
F2402,Bombardier Q400,VT-VZC
F2403,Bombardier Q400,VT-JRK
F2404,Airbus A319,VT-YWK
F2405,Boeing 787-8,VT-ZPW
F2406,Boeing 777-300ER,VT-PGP
F2407,Airbus A321,VT-MST
F2408,Bombardier Q400,VT-KMP
F2409,Bombardier Q400,VT-TLD
F2410,Boeing 787-8,VT-COS
F2411,Airbus A319,VT-MSS
F2412,ATR 72-600,VT-MXJ
F2413,Boeing 737-800,VT-KSS
F2414,Airbus A321,VT-BSJ
F2415,Airbus A321,VT-XYU
F2416,Bombardier Q400,VT-GMA
F2417,Bombardier Q400,VT-CBR
F2418,Airbus A320,VT-PVN
F2419,Boeing 737-800,VT-SZV
F2420,Bombardier Q400,VT-VLS
F2421,Airbus A321,VT-JOR
F2422,Airbus A319,VT-WON
F2423,Airbus A321,VT-CVX
F2424,Airbus A319,VT-HDW
F2425,Boeing 737-800,VT-KYY
F2426,ATR 72-600,VT-ZUB
F2427,Boeing 737-800,VT-VOC
F2428,Boeing 787-8,VT-GBH
F2429,Airbus A319,VT-XYW
F2430,Airbus A319,VT-JXO
F2431,ATR 72-600,VT-QAT
F2432,Airbus A320,VT-ADW
F2433,Airbus A319,VT-FPF
F2434,Boeing 737-900,VT-HSV
F2435,Boeing 737-900,VT-DPP
F2436,Boeing 737-900,VT-ICH
F2437,Airbus A320,VT-PDG
F2438,Bombardier Q400,VT-CST
F2439,Boeing 777-300ER,VT-FUH
F2440,Boeing 737-800,VT-ADE
F2441,Boeing 777-300ER,VT-EUZ
F2442,Airbus A319,VT-JYW
F2443,Airbus A320,VT-PAR
F2444,Airbus A319,VT-SMO
F2445,Bombardier Q400,VT-EJR
F2446,Airbus A321,VT-IKQ
F2447,Boeing 787-8,VT-NAO
F2448,Boeing 787-8,VT-AFX
F2449,Boeing 737-900,VT-JRW
F2450,Airbus A321,VT-EEH
F2451,ATR 72-600,VT-UIC
F2452,Boeing 787-8,VT-IXC
F2453,Airbus A320,VT-FSM
F2454,Bombardier Q400,VT-YEB
F2455,Airbus A321,VT-WPP
F2456,Boeing 787-8,VT-HKP
F2457,Airbus A320,VT-PXR
F2458,Boeing 737-900,VT-WYK
F2459,Boeing 737-900,VT-YFY
F2460,Boeing 787-8,VT-PUF
F2461,ATR 72-600,VT-NQH
F2462,ATR 72-600,VT-MOH
F2463,Boeing 777-300ER,VT-MPA
F2464,Airbus A319,VT-FKS
F2465,Boeing 777-300ER,VT-NGD
F2466,Boeing 737-900,VT-IJI
F2467,Airbus A319,VT-MGR
F2468,Airbus A319,VT-EWC
F2469,Airbus A320,VT-WIB
F2470,Boeing 737-800,VT-RFS
F2471,Airbus A319,VT-LUG
F2472,Boeing 737-900,VT-UFZ
F2473,Boeing 737-800,VT-MFM
F2474,Boeing 777-300ER,VT-LEI
F2475,Airbus A321,VT-IMN
F2476,Boeing 787-8,VT-DMY
F2477,Boeing 787-8,VT-KPU
F2478,Airbus A319,VT-ZGI
F2479,Boeing 787-8,VT-NGT
